document,dovish,hawkish,neutral,date
20180131.txt,0.1402435429968543,0.3489432900674521,0.5108131737109558,2018-01-31
20180321.txt,0.19571088947882706,0.36831450091515366,0.4359746107316356,2018-03-21
20180502.txt,0.1448369551437444,0.31820320120793727,0.5369598480239434,2018-05-02
20180613.txt,0.15303439533963334,0.3448779072672761,0.5020876989621963,2018-06-13
20180801.txt,0.1605248742524821,0.2992199821371685,0.5402551472471105,2018-08-01
20180926.txt,0.15638205785995832,0.32805414263631394,0.5155637957019886,2018-09-26
20181108.txt,0.13157879098625175,0.36194273312091163,0.5064784738735748,2018-11-08
20181219.txt,0.22143128620983224,0.2649186066300061,0.5136501141339659,2018-12-19
20190130.txt,0.1786197966601557,0.20711522546597122,0.6142649757853131,2019-01-30
20190320.txt,0.25868575817548844,0.13408606734274145,0.6072281777376095,2019-03-20
20190501.txt,0.19860644947123499,0.2037564814478981,0.5976370696139138,2019-05-01
20190619.txt,0.368537111309805,0.13226679716234482,0.4991960897412898,2019-06-19
20190731.txt,0.247214674981862,0.20446319734608664,0.5483221254899604,2019-07-31
20190918.txt,0.3714568740288497,0.19856268632644142,0.42998043876182884,2019-09-18
20191030.txt,0.310291283587247,0.17650779870056682,0.5132009210193715,2019-10-30
20191211.txt,0.2209017186192988,0.1820508890334392,0.597047396343189,2019-12-11
20240131.txt,0.23038798507799843,0.2911329028587109,0.4784791126725462,2024-01-31
20240320.txt,0.1795861173205909,0.2865223607809989,0.5338915228827458,2024-03-20
20240501.txt,0.15780828916620407,0.30215681249245946,0.5400349023470528,2024-05-01
20240612.txt,0.22086622048227175,0.2327224835509554,0.5464112977221688,2024-06-12
20240731.txt,0.22993177437245912,0.2577907438203732,0.5122774877252743,2024-07-31
20240918.txt,0.28798721233201807,0.23560433022577718,0.4764084553061224,2024-09-18
20241107.txt,0.2124185343989342,0.24145084210272336,0.5461306279043348,2024-11-07
20241218.txt,0.21108187536362807,0.22721302366670318,0.5617050995128946,2024-12-18
20250129.txt,0.10947402164686201,0.2939020656249915,0.5966239065291838,2025-01-29
20250319.txt,0.18549989726927213,0.30544949621960105,0.5090506042061779,2025-03-19
